detected_date,entry_date,exited_date,symbol,side,status,regime,entry,stop,target,tp_runner_pct,tp_target_multiplier,tp_conviction,exit_price,hold_candles,r_multiple,price_return_pct,leverage,taken,position_pct,margin,net_pnl,fees,funding,outcome,ml_score,ml_p_win,ml_expected_r,ml_tail_prob,ml_not_bad_prob,ml_market_regime,feat_score,feat_breakout_pct,feat_distance_to_trigger_pct,feat_risk_pct,feat_reward_pct,feat_reward_risk,feat_volume_ratio,feat_avg_quote_volume,feat_compression_pct,feat_atr_pct,feat_trend_score,feat_close_position,feat_quote_volume_24h,feat_range_pct_24h,feat_price_change_pct_24h,feat_momentum_score,feat_btc_momentum_pct,feat_btc_ema_distance_pct,feat_rel_momentum_pct,feat_symbol_trades_30,feat_symbol_win_rate_30,feat_symbol_avg_r_30,feat_interval
2026-05-01 15:59,2026-05-01 16:59,2026-05-02 19:59,TAOUSDT,LONG,BREAKOUT,INSTANT,271.991573,262.471867945,290.42795,50.00,1.000,0.000,280.529782567,27,0.8969,3.1391,10,yes,55.00,5.500000,1.658467,0.049500,0.018563,WIN,0.000000,0.000000,0.000000,0.000000,0.000000,,95.500000,0.016675,0.000000,0.059913,0.084790,1.415210,3.329794,6271195.855944,0.000000,0.013399,1.000000,0.893189,154547944.534270,9.131362,0.000000,0.809930,3.114124,2.074365,3.025850,0.000000,0.500000,0.000000,1h
2026-05-04 02:59,2026-05-04 03:59,2026-05-04 10:59,APTUSDT,LONG,BREAKOUT,INSTANT,1.01400411,0.97851396615,1.0504794,50.00,1.000,0.000,0.996856233075,7,-0.4832,-1.6911,10,yes,55.00,6.412157,-1.147683,0.057709,0.005611,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,90.200000,0.010971,0.000000,0.032140,0.046709,1.453291,3.510401,1008887.587715,0.000000,0.010683,0.700000,0.770053,25549950.353910,4.370560,0.000000,0.609947,4.681338,2.432102,-5.113558,0.000000,0.500000,0.000000,1h
2026-05-04 14:59,2026-05-04 15:59,2026-05-04 19:59,TONUSDT,LONG,BREAKOUT,INSTANT,1.45363596,1.4027587014,1.4581264,50.00,1.000,0.000,1.4522470901,4,-0.0273,-0.0955,10,yes,55.00,5.780931,-0.110152,0.052028,0.002890,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,97.000000,0.040515,0.000000,0.029310,0.042713,1.457287,7.825083,1394551.551063,0.000000,0.013705,1.000000,0.978795,40442849.066940,7.821959,0.000000,0.977613,2.358743,1.979763,6.631285,0.000000,0.500000,0.000000,1h
2026-05-04 22:59,2026-05-04 23:59,2026-05-06 01:59,TONUSDT,LONG,BREAKOUT,INSTANT,1.60498135,1.54880700275,2.03735248228,50.00,1.000,0.000,1.90382824114,26,5.3200,18.6200,10,no,,0.000000,0.000000,0.000000,0.000000,skipped,0.000000,0.000000,0.000000,0.000000,0.000000,,97.100000,0.010390,0.000000,0.166098,0.281686,1.695899,4.272361,5479961.212205,0.000000,0.026368,1.000000,0.911343,136551408.035680,16.447491,0.000000,0.979453,2.465883,1.440108,19.077940,1.000000,0.000000,-0.027298,1h
2026-05-05 13:59,2026-05-05 14:59,2026-05-05 16:59,ICPUSDT,LONG,BREAKOUT,INSTANT,2.570771,2.480794015,2.774967,50.00,1.000,0.000,2.51935558,2,-0.5714,-2.0000,10,yes,55.00,5.720347,-1.196983,0.051483,0.001430,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,92.400000,0.015008,0.000000,0.067512,0.094864,1.405136,5.433415,997671.319750,0.000000,0.010283,1.000000,0.693548,29166890.229000,9.416342,0.000000,0.877630,3.761298,2.200527,6.114717,0.000000,0.500000,0.000000,1h
2026-05-05 15:59,2026-05-05 16:59,2026-05-05 18:59,VIRTUALUSDT,LONG,BREAKOUT,INSTANT,0.79673895,0.76885308675,0.82105995,50.00,1.000,0.000,0.813902975,2,0.6155,2.1543,10,yes,46.75,4.302706,0.887125,0.038724,0.001076,WIN,0.000000,0.000000,0.000000,0.000000,0.000000,,93.900000,0.031068,0.000000,0.042970,0.061799,1.438201,6.048789,1196271.564697,0.000000,0.014564,1.000000,0.778281,34717641.328970,9.139987,0.000000,0.976325,3.873687,2.335768,7.074913,0.000000,0.500000,0.000000,1h
2026-05-05 20:59,2026-05-05 21:59,2026-05-06 00:59,ICPUSDT,LONG,BREAKOUT,INSTANT,2.7368208,2.641032072,2.87485671752,50.00,1.000,0.000,2.682084384,3,-0.5714,-2.0000,10,no,,0.000000,0.000000,0.000000,0.000000,skipped,0.000000,0.000000,0.000000,0.000000,0.000000,,93.700000,0.047054,0.000000,0.064930,0.098693,1.519997,9.056910,2445193.410050,0.000000,0.021583,1.000000,0.738462,72595411.462000,15.966387,0.000000,1.067401,4.070639,2.185538,11.463341,1.000000,0.000000,-0.571429,1h
2026-05-06 07:59,2026-05-06 08:59,2026-05-06 10:59,NEARUSDT,LONG,BREAKOUT,INSTANT,1.3574071,1.3098978515,1.38087,50.00,1.000,0.000,1.402855,2,0.9566,3.3481,10,yes,55.00,5.549926,1.806856,0.049949,0.001387,WIN,0.000000,0.000000,0.000000,0.000000,0.000000,,96.300000,0.024906,0.000000,0.032621,0.041125,1.260696,3.342031,3456533.389800,0.000000,0.013360,1.000000,1.000000,85664867.799000,7.069219,0.000000,0.728401,3.851929,1.372621,2.407852,0.000000,0.500000,0.000000,1h
2026-05-06 21:59,2026-05-06 22:59,2026-05-06 23:59,OPUSDT,LONG,BREAKOUT,INSTANT,0.14754425,0.14238020125,0.1569511,50.00,1.000,0.000,0.14238020125,1,-1.0000,-3.5000,10,yes,55.00,6.543697,-2.350005,0.058893,0.000818,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,95.000000,0.040903,0.000000,0.075842,0.105743,1.394257,3.045561,2396683.509597,0.000000,0.018970,1.000000,0.865854,59669041.889500,14.430894,0.000000,0.700073,3.426762,0.982340,16.866637,0.000000,0.500000,0.000000,1h
2026-05-06 23:59,2026-05-07 00:59,2026-05-07 01:59,ICPUSDT,LONG,BREAKOUT,INSTANT,3.1929576,3.081204084,3.99281161708,50.00,1.000,0.000,3.081204084,1,-1.0000,-3.5000,10,no,,0.000000,0.000000,0.000000,0.000000,skipped,0.000000,0.000000,0.000000,0.000000,0.000000,,96.400000,0.033679,0.000000,0.136201,0.291717,2.141822,3.555011,5113659.109000,0.000000,0.032447,1.000000,0.757576,137096240.373000,18.765664,0.000000,0.938323,3.643367,0.809525,32.708619,2.000000,0.000000,-0.571429,1h
