detected_date,entry_date,exited_date,symbol,side,status,regime,entry,stop,target,tp_runner_pct,tp_target_multiplier,tp_conviction,exit_price,hold_candles,r_multiple,price_return_pct,leverage,taken,position_pct,margin,net_pnl,fees,funding,outcome,ml_score,ml_p_win,ml_expected_r,ml_tail_prob,ml_not_bad_prob,ml_market_regime,feat_score,feat_breakout_pct,feat_distance_to_trigger_pct,feat_risk_pct,feat_reward_pct,feat_reward_risk,feat_volume_ratio,feat_avg_quote_volume,feat_compression_pct,feat_atr_pct,feat_trend_score,feat_close_position,feat_quote_volume_24h,feat_range_pct_24h,feat_price_change_pct_24h,feat_momentum_score,feat_btc_momentum_pct,feat_btc_ema_distance_pct,feat_rel_momentum_pct,feat_symbol_trades_30,feat_symbol_win_rate_30,feat_symbol_avg_r_30,feat_interval
2026-04-01 06:59,2026-04-01 07:59,2026-04-02 01:59,AVAXUSDT,LONG,BREAKOUT,INSTANT,9.3868152,9.058276668,9.571311,50.00,1.000,0.000,9.058276668,18,-1.0000,-3.5000,10,yes,55.00,5.500000,-1.986875,0.049500,0.012375,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,95.200000,0.029625,0.000000,0.033861,0.049128,1.450872,5.348817,4628396.116350,0.000000,0.010892,1.000000,0.865714,131772626.866000,7.917732,0.000000,0.995127,3.545044,2.426006,3.700671,0.000000,0.500000,0.000000,1h
2026-04-01 14:59,2026-04-01 15:59,2026-04-01 18:59,TAOUSDT,LONG,BREAKOUT,INSTANT,327.428199,315.968212035,340.93155,50.00,1.000,0.000,315.968212035,3,-1.0000,-3.5000,10,yes,55.00,5.500000,-1.976562,0.049500,0.002063,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,94.700000,0.029340,0.000000,0.049715,0.071041,1.428959,4.410569,13320728.790150,0.000000,0.016737,1.000000,0.837492,379982485.916780,8.706810,0.000000,1.008656,3.009336,1.347734,0.908248,0.000000,0.500000,0.000000,1h
2026-04-01 16:59,2026-04-01 17:59,2026-04-01 21:59,SOLUSDT,LONG,BREAKOUT,INSTANT,85.215557,82.233012505,88.71374,50.00,1.000,0.000,82.233012505,4,-1.0000,-3.5000,10,no,,0.000000,0.000000,0.000000,0.000000,skipped,0.000000,0.000000,0.000000,0.000000,0.000000,,96.600000,0.005667,0.000000,0.031879,0.046341,1.453659,3.578992,67944095.922640,0.000000,0.010499,1.000000,0.953975,1905599259.704800,3.698051,0.000000,0.873861,3.480332,1.580065,0.868560,0.000000,0.500000,0.000000,1h
2026-04-05 23:59,2026-04-06 00:59,2026-04-06 09:59,ARBUSDT,LONG,BREAKOUT,INSTANT,0.09422826,0.0909302709,0.0973523,50.00,1.000,0.000,0.0963750841386,9,0.6509,2.2783,10,yes,24.75,1.494049,0.325265,0.013446,0.001681,WIN,0.000000,0.000000,0.000000,0.000000,0.000000,,90.500000,0.015086,0.000000,0.033063,0.048007,1.451993,4.003602,943103.078318,0.000000,0.010616,0.700000,0.791667,24265437.195070,5.414013,0.000000,0.663862,3.184459,2.696349,0.674416,0.000000,0.500000,0.000000,1h
2026-04-05 23:59,2026-04-06 00:59,2026-04-06 22:59,VIRTUALUSDT,LONG,BREAKOUT,INSTANT,0.63949179,0.61710957735,0.6836081,50.00,1.000,0.000,0.642426040922,22,0.1311,0.4588,10,yes,24.75,1.494049,0.050998,0.013446,0.004109,WIN,0.000000,0.000000,0.000000,0.000000,0.000000,,93.500000,0.005505,0.000000,0.051982,0.074119,1.425881,4.264777,720543.828088,0.000000,0.011195,0.700000,1.000000,19548658.104350,5.506022,0.000000,0.691569,3.184459,2.696349,-2.364399,0.000000,0.500000,0.000000,1h
2026-04-05 23:59,2026-04-06 00:59,2026-04-06 10:59,FARTCOINUSDT,LONG,BREAKOUT,INSTANT,0.16945082,0.1635200413,0.1765497,50.00,1.000,0.000,0.174051914152,10,0.7758,2.7153,10,no,,0.000000,0.000000,0.000000,0.000000,skipped,0.000000,0.000000,0.000000,0.000000,0.000000,,96.600000,0.014988,0.000000,0.039785,0.057394,1.442606,3.564139,1077795.631201,0.000000,0.015146,1.000000,0.960000,26821754.355690,5.079740,0.000000,0.694573,3.184459,2.696349,2.959742,0.000000,0.500000,0.000000,1h
2026-04-06 00:59,2026-04-06 01:59,2026-04-06 02:59,AVAXUSDT,LONG,BREAKOUT,INSTANT,9.4268272,9.096888248,9.5274,50.00,1.000,0.000,9.53561884631,1,0.3297,1.1541,10,no,,0.000000,0.000000,0.000000,0.000000,skipped,0.000000,0.000000,0.000000,0.000000,0.000000,,96.300000,0.037433,0.000000,0.035850,0.047879,1.335516,7.022938,3900214.173100,0.000000,0.010294,1.000000,0.975477,111279384.649000,7.333121,0.000000,1.040446,3.430255,2.698595,3.880985,1.000000,0.000000,-1.000000,1h
2026-04-06 00:59,2026-04-06 01:59,2026-04-06 14:59,FETUSDT,LONG,BREAKOUT,INSTANT,0.24277281,0.23427576165,0.25236855,50.00,1.000,0.000,0.241393113752,13,-0.1624,-0.5683,10,no,,0.000000,0.000000,0.000000,0.000000,skipped,0.000000,0.000000,0.000000,0.000000,0.000000,,91.200000,0.028378,0.000000,0.047367,0.067837,1.432163,4.430579,1628364.310220,0.000000,0.013739,0.700000,0.840909,46787451.558900,8.237232,0.000000,0.759578,3.430255,2.698595,3.577237,0.000000,0.500000,0.000000,1h
2026-04-07 21:59,2026-04-07 22:59,2026-04-08 00:59,DASHUSDT,LONG,BREAKOUT,INSTANT,32.689804,31.54566086,33.12823,50.00,1.000,0.000,33.499015,2,0.7073,2.4754,10,yes,24.75,1.587174,0.378211,0.014285,0.000397,WIN,0.000000,0.000000,0.000000,0.000000,0.000000,,96.000000,0.046445,0.000000,0.041712,0.060062,1.439938,4.446373,789918.483079,0.000000,0.014146,1.000000,0.922619,23782204.421180,9.152127,0.000000,0.784408,3.804976,2.131377,4.123666,0.000000,0.500000,0.000000,1h
2026-04-07 22:59,2026-04-07 23:59,2026-04-08 23:59,ETHUSDT,LONG,BREAKOUT,INSTANT,2219.86576,2142.1704584,2306.69118,50.00,1.000,0.000,2214.53889187,24,-0.0686,-0.2400,10,yes,24.75,1.587174,-0.057132,0.014285,0.004762,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,97.100000,0.030815,0.000000,0.049233,0.070384,1.429616,4.544570,468267139.283119,0.000000,0.012551,1.000000,0.993504,13467811124.158510,7.285508,0.000000,0.996634,6.102222,4.332181,1.207114,0.000000,0.500000,0.000000,1h
